Geneid	HISAT2 on dataset 43 and 66: aligned reads (BAM)
Dmel_CR40469	1322
Dmel_CG17636	0
Dmel_CG40494	21
Dmel_CR43552	0
Dmel_CG17131	3
Dmel_CR45473	5
Dmel_CG17707	0
Dmel_CR43863	0
Dmel_CG3038	39
Dmel_CG2995	222
Dmel_CG42376	27
Dmel_CG2945	99
Dmel_CG13377	2
Dmel_CR43906	0
Dmel_CG13376	0
Dmel_CG3114	151
Dmel_CG3777	1
Dmel_CR42973	1
Dmel_CG13375	2
Dmel_CG12470	0
Dmel_CG17885	54
Dmel_CG32816	3
Dmel_CG43181	0
Dmel_CG43182	0
Dmel_CG3757	113
Dmel_CR42744	0
Dmel_CG3796	0
Dmel_CR44751	0
Dmel_CR44752	0
Dmel_CR44753	0
Dmel_CG3827	0
Dmel_CG3839	0
Dmel_CG13374	1
Dmel_CG3258	0
Dmel_CG3972	0
Dmel_CG3923	207
Dmel_CG13373	31
Dmel_CG32817	2
Dmel_CG3176	8
Dmel_CG18273	87
Dmel_CG3156	19
Dmel_CR45797	0
Dmel_CG17896	455
Dmel_CG17778	2
Dmel_CG4122	384
Dmel_CR44891	0
Dmel_CR44892	0
Dmel_CG4262	113
Dmel_CG18104	28
Dmel_CR46392	0
Dmel_CG4293	53
Dmel_CG7727	18
Dmel_CR43519	0
Dmel_CG6172	1
Dmel_CG13366	261
Dmel_CR45474	2
Dmel_CG13365	26
Dmel_CG17828	82
Dmel_CG13369	124
Dmel_CG13364	130
Dmel_CR45475	0
Dmel_CG17829	43
Dmel_CG7622	3650
Dmel_CG6189	121
Dmel_CG7486	50
Dmel_CR46283	0
Dmel_CG6222	259
Dmel_CG13367	51
Dmel_CG16982	212
Dmel_CG13363	275
Dmel_CG16983	453
Dmel_CG5227	225
Dmel_CG13362	1
Dmel_CG5254	111
Dmel_CG13361	2
Dmel_CG5273	126
Dmel_CR44965	0
Dmel_CG7434	1690
Dmel_CR42491	25
Dmel_CR34590	6
Dmel_CR33918	2
Dmel_CR44966	0
Dmel_CG16785	2
Dmel_CG12311	0
Dmel_CG13360	0
Dmel_CR44469	0
Dmel_CG16989	122
Dmel_CG7413	281
