Geneid	HISAT2 on dataset 43 and 60: aligned reads (BAM)
Dmel_CR40469	177
Dmel_CG17636	0
Dmel_CG40494	55
Dmel_CR43552	0
Dmel_CG17131	6
Dmel_CR45473	1
Dmel_CG17707	3
Dmel_CR43863	0
Dmel_CG3038	36
Dmel_CG2995	442
Dmel_CG42376	25
Dmel_CG2945	161
Dmel_CG13377	2
Dmel_CR43906	0
Dmel_CG13376	0
Dmel_CG3114	252
Dmel_CG3777	1
Dmel_CR42973	1
Dmel_CG13375	0
Dmel_CG12470	0
Dmel_CG17885	44
Dmel_CG32816	3
Dmel_CG43181	0
Dmel_CG43182	0
Dmel_CG3757	89
Dmel_CR42744	0
Dmel_CG3796	0
Dmel_CR44751	0
Dmel_CR44752	0
Dmel_CR44753	0
Dmel_CG3827	0
Dmel_CG3839	0
Dmel_CG13374	0
Dmel_CG3258	0
Dmel_CG3972	0
Dmel_CG3923	417
Dmel_CG13373	21
Dmel_CG32817	5
Dmel_CG3176	1
Dmel_CG18273	211
Dmel_CG3156	46
Dmel_CR45797	0
Dmel_CG17896	1089
Dmel_CG17778	2
Dmel_CG4122	688
Dmel_CR44891	0
Dmel_CR44892	0
Dmel_CG4262	148
Dmel_CG18104	46
Dmel_CR46392	0
Dmel_CG4293	128
Dmel_CG7727	41
Dmel_CR43519	0
Dmel_CG6172	2
Dmel_CG13366	629
Dmel_CR45474	0
Dmel_CG13365	49
Dmel_CG17828	151
Dmel_CG13369	265
Dmel_CG13364	167
Dmel_CR45475	0
Dmel_CG17829	71
Dmel_CG7622	6708
Dmel_CG6189	217
Dmel_CG7486	64
Dmel_CR46283	0
Dmel_CG6222	711
Dmel_CG13367	137
Dmel_CG16982	304
Dmel_CG13363	771
Dmel_CG16983	634
Dmel_CG5227	407
Dmel_CG13362	0
Dmel_CG5254	260
Dmel_CG13361	2
Dmel_CG5273	226
Dmel_CR44965	0
Dmel_CG7434	6152
Dmel_CR42491	48
Dmel_CR34590	9
Dmel_CR33918	8
Dmel_CR44966	0
Dmel_CG16785	0
Dmel_CG12311	0
Dmel_CG13360	2
Dmel_CR44469	0
Dmel_CG16989	365
Dmel_CG7413	569
Dmel_CG13359	2
Dmel_CG13358	29
Dmel_CG7359	349
Dmel_CG43867	306
Dmel_CG14635	1
Dmel_CG3713	0
Dmel_CG14634	0
Dmel_CG11664	0
Dmel_CG11663	0
Dmel_CG3711	315
Dmel_CG3034	62
Dmel_CG3708	0
Dmel_CG3706	10
Dmel_CG32815	8
Dmel_CG11642	548
Dmel_CG3704	167
Dmel_CG3026	75
Dmel_CG3703	31
Dmel_CG3699	0
Dmel_CG3690	0
Dmel_CR45476	0
Dmel_CG18823	0
Dmel_CG11639	0
Dmel_CG14631	0
