Geneid	HISAT2 on dataset 43 and 63: aligned reads (BAM)
Dmel_CR40469	210
Dmel_CG17636	0
Dmel_CG40494	73
Dmel_CR43552	0
Dmel_CG17131	4
Dmel_CR45473	1
Dmel_CG17707	2
Dmel_CR43863	0
Dmel_CG3038	50
Dmel_CG2995	395
Dmel_CG42376	41
Dmel_CG2945	196
Dmel_CG13377	2
Dmel_CR43906	0
Dmel_CG13376	0
Dmel_CG3114	200
Dmel_CG3777	2
Dmel_CR42973	1
Dmel_CG13375	1
Dmel_CG12470	0
Dmel_CG17885	54
Dmel_CG32816	2
Dmel_CG43181	0
Dmel_CG43182	0
Dmel_CG3757	144
Dmel_CR42744	0
Dmel_CG3796	0
Dmel_CR44751	0
Dmel_CR44752	0
Dmel_CR44753	0
Dmel_CG3827	0
Dmel_CG3839	0
Dmel_CG13374	0
Dmel_CG3258	0
Dmel_CG3972	0
Dmel_CG3923	371
Dmel_CG13373	28
Dmel_CG32817	6
Dmel_CG3176	6
Dmel_CG18273	229
Dmel_CG3156	36
Dmel_CR45797	0
Dmel_CG17896	1381
Dmel_CG17778	1
Dmel_CG4122	692
Dmel_CR44891	0
Dmel_CR44892	0
Dmel_CG4262	115
Dmel_CG18104	61
Dmel_CR46392	0
Dmel_CG4293	148
Dmel_CG7727	37
Dmel_CR43519	0
Dmel_CG6172	2
Dmel_CG13366	578
Dmel_CR45474	1
Dmel_CG13365	62
Dmel_CG17828	170
Dmel_CG13369	261
Dmel_CG13364	215
Dmel_CR45475	1
Dmel_CG17829	85
Dmel_CG7622	8619
Dmel_CG6189	236
Dmel_CG7486	88
Dmel_CR46283	0
Dmel_CG6222	664
Dmel_CG13367	154
Dmel_CG16982	367
Dmel_CG13363	684
Dmel_CG16983	859
Dmel_CG5227	375
Dmel_CG13362	2
Dmel_CG5254	268
Dmel_CG13361	2
Dmel_CG5273	208
Dmel_CR44965	0
Dmel_CG7434	6374
Dmel_CR42491	68
Dmel_CR34590	12
Dmel_CR33918	3
Dmel_CR44966	0
Dmel_CG16785	4
Dmel_CG12311	0
Dmel_CG13360	2
Dmel_CR44469	0
Dmel_CG16989	349
Dmel_CG7413	556
Dmel_CG13359	13
Dmel_CG13358	29
Dmel_CG7359	417
Dmel_CG43867	251
Dmel_CG14635	0
Dmel_CG3713	2
Dmel_CG14634	0
Dmel_CG11664	4
Dmel_CG11663	0
Dmel_CG3711	316
Dmel_CG3034	87
Dmel_CG3708	5
Dmel_CG3706	6
Dmel_CG32815	5
Dmel_CG11642	655
Dmel_CG3704	158
Dmel_CG3026	49
Dmel_CG3703	41
Dmel_CG3699	0
Dmel_CG3690	0
Dmel_CR45476	0
Dmel_CG18823	0
Dmel_CG11639	0
Dmel_CG14631	0
Dmel_CG3019	811
Dmel_CG11638	28
Dmel_CG32814	4
Dmel_CG3021	100
Dmel_CG3658	245
Dmel_CG33082	3
Dmel_CG14630	0
Dmel_CG42259	71
Dmel_CR44779	288
Dmel_CG14629	3841
Dmel_CG3655	111
Dmel_CG14628	2
Dmel_CG32859	0
Dmel_CG11378	35
Dmel_CG11384	0
Dmel_CG11379	0
Dmel_CG14627	0
Dmel_CG14626	0
Dmel_CG11380	2
Dmel_CG14625	3
Dmel_CG11381	8
Dmel_CG14624	0
Dmel_CG11382	9
Dmel_CG11398	31
Dmel_CG3638	327
Dmel_CG11403	165
Dmel_CG11405	140
Dmel_CG32812	43
Dmel_CG14622	423
Dmel_CG32811	0
Dmel_CR46248	0
Dmel_CG11411	105
Dmel_CG11409	36
Dmel_CG11412	368
Dmel_CG11418	150
Dmel_CG11415	17
Dmel_CG12773	685
Dmel_CG11417	430
Dmel_CG11420	68
Dmel_CG14770	6
Dmel_CG3056	683
Dmel_CR43537	0
Dmel_CG3051	638
Dmel_CG3719	195
Dmel_CG32813	113
Dmel_CG11448	463
Dmel_CG34387	239
Dmel_CG18531	0
Dmel_CG14785	57
Dmel_CG14786	512
Dmel_CG14787	21
Dmel_CG14788	643
Dmel_CG14789	653
Dmel_CG14777	179
Dmel_CG14778	16
Dmel_CG32808	19
Dmel_CG14779	236
Dmel_CG14780	82
Dmel_CG14791	141
Dmel_CG14781	284
Dmel_CG14782	4153
Dmel_CG14792	70487
Dmel_CR32807	1
Dmel_CR34671	1
Dmel_CG32810	1141
